edges_prop,y
-5.0,1.4867195147342979e-06
-4.9,2.438960745893352e-06
-4.800000000000001,3.961299091032062e-06
-4.700000000000001,6.369825178867069e-06
-4.600000000000001,1.014085206548667e-05
-4.500000000000002,1.5983741106905332e-05
-4.400000000000002,2.4942471290053356e-05
-4.3000000000000025,3.853519674208672e-05
-4.200000000000003,5.8943067756539116e-05
-4.100000000000003,8.926165717713167e-05
-4.0000000000000036,0.00013383022576488347
-3.900000000000004,0.00019865547139276957
-3.8000000000000043,0.00029194692579145534
-3.7000000000000046,0.0004247802705507443
-3.600000000000005,0.0006119019301137612
-3.5000000000000053,0.0008726826950457439
-3.4000000000000057,0.0012322191684729959
-3.300000000000006,0.0017225689390536463
-3.2000000000000064,0.0023840882014647936
-3.1000000000000068,0.0032668190561998523
-3.000000000000007,0.004431848411937913
-2.9000000000000075,0.005952532419775727
-2.800000000000008,0.007915451582979793
-2.700000000000008,0.010420934814422364
-2.6000000000000085,0.013582969233685318
-2.500000000000009,0.017528300493568152
-2.4000000000000092,0.022394530294842407
-2.3000000000000096,0.028327037741600544
-2.20000000000001,0.03547459284623067
-2.1000000000000103,0.043983595980426234
-2.0000000000000107,0.05399096651318691
-1.900000000000011,0.06561581477467522
-1.8000000000000114,0.07895015830089255
-1.7000000000000117,0.09404907737688507
-1.600000000000012,0.11092083467945342
-1.5000000000000124,0.12951759566588933
-1.4000000000000128,0.1497274656357422
-1.3000000000000131,0.17136859204780444
-1.2000000000000135,0.19418605498320982
-1.1000000000000139,0.21785217703254722
-1.0000000000000142,0.24197072451913992
-0.9000000000000146,0.2660852498987513
-0.8000000000000149,0.28969155276147934
-0.7000000000000153,0.31225393336675794
-0.6000000000000156,0.33322460289179656
-0.500000000000016,0.3520653267642967
-0.40000000000001634,0.36827014030332095
-0.3000000000000167,0.3813878154605222
-0.20000000000001705,0.39104269397545455
-0.10000000000001741,0.3969525474770111
-1.7763568394002505e-14,0.3989422804014327
0.09999999999998188,0.39695254747701253
0.19999999999998153,0.3910426939754574
0.29999999999998117,0.38138781546052625
0.3999999999999808,0.36827014030332617
0.49999999999998046,0.35206532676430297
0.5999999999999801,0.33322460289180367
0.6999999999999797,0.3122539333667657
0.7999999999999794,0.28969155276148756
0.899999999999979,0.26608524989875987
0.9999999999999787,0.2419707245191485
1.0999999999999783,0.21785217703255577
1.199999999999978,0.1941860549832181
1.2999999999999776,0.17136859204781235
1.3999999999999773,0.14972746563574965
1.499999999999977,0.1295175956658962
1.5999999999999766,0.11092083467945973
1.6999999999999762,0.09404907737689075
1.7999999999999758,0.07895015830089759
1.8999999999999755,0.06561581477467965
1.9999999999999751,0.05399096651319074
2.0999999999999748,0.04398359598042952
2.1999999999999744,0.035474592846233444
2.299999999999974,0.02832703774160286
2.3999999999999737,0.02239453029484431
2.4999999999999734,0.017528300493569706
2.599999999999973,0.013582969233686572
2.6999999999999726,0.010420934814423364
2.7999999999999723,0.007915451582980581
2.899999999999972,0.00595253241977634
2.9999999999999716,0.004431848411938386
3.0999999999999712,0.003266819056200212
3.199999999999971,0.002384088201465065
3.2999999999999705,0.001722568939053848
3.39999999999997,0.0012322191684731446
3.49999999999997,0.0008726826950458523
3.5999999999999694,0.0006119019301138393
3.699999999999969,0.00042478027055080017
3.7999999999999687,0.00029194692579149475
3.8999999999999684,0.00019865547139279709
3.999999999999968,0.00013383022576490247
4.099999999999968,8.926165717714466e-05
4.199999999999967,5.894306775654792e-05
4.299999999999967,3.853519674209261e-05
4.399999999999967,2.4942471290057255e-05
4.499999999999966,1.598374110690789e-05
4.599999999999966,1.0140852065488327e-05
4.6999999999999655,6.369825178868133e-06
4.799999999999965,3.961299091032737e-06
4.899999999999965,2.438960745893777e-06
